time,airspeed,vertspd,psi,aoa,theta,diffalt,density,payload,power,airspeed_x,airspeed_y
23.0,3.2000000476837163,2.9505208276334387,-3.368485456349056,0.031083450947503834,-1.5692426957385774,7.044666945934296,1.1718938453052181,0.5,600.360505825156,-0.7246867110800387,-3.116862120139385
23.2,3.2000000476837163,2.7483589289024923,-3.385938748868999,0.029519488083314508,-1.5769375267237484,7.846966445446071,1.1718938453052181,0.5,718.4350825078835,-0.755067502650121,-3.1096420005552883
23.4,3.0999999046325684,2.7185529598268623,-3.4033920413889427,0.03595219590131449,-1.577342658096091,8.1206414103508,1.1718938453052181,0.5,652.7696358472895,-0.7827198254445799,-2.9995581480574667
23.5,3.0999999046325684,2.672272575305183,-3.473205211468716,0.041562529419784056,-1.5762148430034,8.390212714672089,1.1718938453052181,0.5,662.3850271018528,-0.9933642559410716,-2.9365331368368
23.7,3.0999999046325684,2.7313835195757283,-3.6477381366681487,0.030969991261565334,-1.5821839488650633,9.152013003826141,1.1718938453052181,0.5,725.3669087689194,-1.4719374988117135,-2.7282594100110513
23.8,3.0999999046325684,2.8355613963245685,-3.735004599267865,0.02607084169392166,-1.5865084547471524,9.789181888103485,1.1718938453052181,0.5,753.7513834518105,-1.6929052116646615,-2.596934992070568
24.0,3.0,2.8687196289508186,-3.944444109507185,0.02819785735652325,-1.5846041918746825,10.074667155742645,1.1718938453052181,0.5,647.8738309591424,-2.1290393505744767,-2.1135731460504057
24.1,3.0999999046325684,2.9032600426961137,-4.049163864626845,0.028291151452531103,-1.5820812693440416,10.421864688396454,1.1718938453052181,0.5,631.2100469438155,-2.4211402895874365,-1.9359956370969422
24.3,3.0999999046325684,2.878857188959964,-4.258603374866164,0.027639966082397178,-1.5845633680611768,11.053445041179657,1.1718938453052181,0.5,755.6724442472186,-2.7672892831112574,-1.3971790981472336
24.4,3.0,2.8999871151482752,-4.34586983746588,0.02559220361599117,-1.5868328871760555,11.342312037944794,1.1718938453052181,0.5,726.5478147450341,-2.783140923301368,-1.1198779402440282
24.5,3.0,2.9438602194344123,-4.520402762665314,0.023276633271326515,-1.5873468617996978,11.63458651304245,1.1718938453052181,0.5,713.4681149176832,-2.935004687906046,-0.6210857283576351
24.7,3.0,3.0361550793737706,-4.572762640225143,0.01778120385923869,-1.5790448551741845,12.284100711345673,1.1718938453052181,0.5,604.7816474263782,-2.967259261916207,-0.4420095842541048
24.81,3.0,2.9941552017589137,-4.6774823953448035,0.01647114498294023,-1.5720458481940862,12.610167682170868,1.1718938453052181,0.5,678.8547880956539,-2.9980393175588476,-0.10844468807313704
25.0,3.0999999046325684,2.970790745783989,-4.71238898038469,0.025612180828274884,-1.5647529154131694,13.20362013578415,1.1718938453052181,0.5,616.4131594474748,-3.0999432944338574,0.018734460667296563
25.2,3.0999999046325684,2.989515953495527,-4.694935687864747,0.03875075027285006,-1.566854429271524,13.857073962688446,1.1718938453052181,0.5,675.1941303877175,-3.099716944364162,-0.04188404879708293
25.3,3.0,3.005894705328643,-4.694935687864747,0.03609436358173063,-1.5722457732503665,14.198565661907196,1.1718938453052181,0.5,736.8123911614713,-2.999464045647772,-0.05670483988427645
25.41,3.0999999046325684,3.0507906380652465,-4.6600291028248595,0.033325447155476626,-1.579099796145418,14.501277148723602,1.1718938453052181,0.5,640.8278612537251,-3.094297589289231,-0.18794104831246214
25.6,3.0,3.007958579976993,-4.642575810304916,0.024723129913843667,-1.5922056319471622,15.448933780193329,1.1718938453052181,0.5,653.8741456868595,-2.9875263436215946,-0.27328802785154355
25.8,3.0,3.01176978154578,-4.625122517784973,0.02187310626054154,-1.5931881953455154,15.782036006450653,1.1718938453052181,0.5,684.9803533824524,-2.98198064329712,-0.3283160717986452
25.9,3.0,3.0172948024708717,-4.590215932745087,0.02183879307455427,-1.5929831970998822,16.083091914653778,1.1718938453052181,0.5,602.3836953852115,-2.9687945705241288,-0.43157710554019657
26.1,3.0999999046325684,2.9961983681668864,-4.625122517784973,0.02007299573581582,-1.5905567064090347,16.718500316143036,1.1718938453052181,0.5,666.3533958386251,-3.0822619921402525,-0.33115014801375964
26.2,3.0999999046325684,2.992456316443987,-4.60766922526503,0.016556119181023857,-1.590754781834361,17.01745241880417,1.1718938453052181,0.5,641.208344786719,-3.0759368836275147,-0.3855018763401619
26.3,3.2000000476837163,3.023771133329592,-4.625122517784973,0.019298816958725096,-1.593406151669111,17.35444086790085,1.1718938453052181,0.5,643.9569056800101,-3.1807029955607184,-0.35089707779754686
26.51,3.2999999523162837,2.9943867135896505,-4.6774823953448035,0.034816516238510536,-1.5912939436326803,17.954523265361786,1.1718938453052181,0.5,583.2617656476795,-3.2949363656481525,-0.18274033932555536
26.6,3.2000000476837163,2.9948046870547835,-4.6774823953448035,0.043559820603300624,-1.5893755934954428,18.28068369626999,1.1718938453052181,0.5,627.8581547707289,-3.195423960548226,-0.1710731350331643
26.8,3.2000000476837163,2.9421400871001464,-4.6774823953448035,0.05734385224291216,-1.5885088833661465,18.90264719724655,1.1718938453052181,0.5,657.6143017761425,-3.195571031169134,-0.16830356481199138
27.0,3.2000000476837163,2.9458986305330583,-4.6600291028248595,0.036353543878679874,-1.5857300330148734,19.490833461284694,1.1718938453052181,0.5,704.6803698442817,-3.1927572991138553,-0.21517698327419624
27.1,3.2999999523162837,3.0089426648745787,-4.625122517784973,0.02816217516075151,-1.585209638309656,19.81601732969284,1.1718938453052181,0.5,703.296349634733,-3.2829556637489214,-0.33496536409956534
27.2,3.2999999523162837,3.0590922690102835,-4.60766922526503,0.024000154013223175,-1.585734424145302,20.119520366191864,1.1718938453052181,0.5,677.7354228117256,-3.276403424683182,-0.39392928808580946
