time,airspeed,vertspd,psi,aoa,theta,diffalt,density,payload,power,airspeed_x,airspeed_y
23.7,2.900000095367432,3.18145746194256,-1.5533430342749532,0.025464318207907437,-3.0846322012378753,7.330044209957066,1.2049622251394563,0.0,508.61522636683003,0.11454096563129335,2.897737206912208
23.8,2.799999952316284,3.1163761342859195,-1.4660765716752369,0.027683280665599802,-3.083183905652865,7.603817403316498,1.2049622251394563,0.0,535.7217528792027,-0.12962447183687517,2.796997895829063
23.9,2.700000047683716,3.1003165045249887,-1.4486232791552935,0.028033875179360738,-3.0820245266400774,7.916131436824799,1.2049622251394563,0.0,516.9358832863509,-0.16892289297904822,2.694710617806605
24.11,2.5999999046325684,3.0303466326848487,-1.3439035240356338,0.028443885034975597,-3.0800865903869368,8.470787942409459,1.2049622251394563,0.0,509.8414443116781,-0.4280478791056342,2.5645222785701303
24.3,2.5,2.9121221386941056,-1.3089969389957472,0.025040707832377544,-3.0804553762272264,8.996648728847504,1.2049622251394563,0.0,515.3793757849236,-0.49829549877509416,2.4498370549692647
24.41,2.299999952316284,2.8810470229831933,-1.1868238913561442,0.022477244797354884,-3.0812102632014833,9.28634828329092,1.2049622251394563,0.0,511.503626784488,-0.7313363302195529,2.1806299440198256
24.5,2.200000047683716,2.879741413450073,-1.2042771838760873,0.020483888263931015,-3.081845049149576,9.678575456142369,1.2049622251394563,0.0,515.0818984611541,-0.6643614697228495,2.0972896908524694
24.71,2.0999999046325684,2.8397790009485777,-1.1868238913561442,0.025765168663020054,-3.0835011878459,10.250055253505707,1.2049622251394563,0.0,517.905744158328,-0.672301347632496,1.9894749300828916
24.8,2.0999999046325684,2.8788692610395223,-1.1693705988362009,0.02807597267385713,-3.084062679270821,10.657529771327972,1.2049622251394563,0.0,529.8960652581592,-0.7080302813064917,1.9770414057904417
25.0,2.299999952316284,2.9029710820363057,-1.1344640137963142,0.023953549754291367,-3.0838008127386387,11.314824044704494,1.2049622251394563,0.0,561.7434178920812,-0.8499987070973768,2.137171490214975
25.2,2.200000047683716,2.937574168014819,-1.0297442586766545,0.020857767664337945,-3.0833521965463095,11.899154603481293,1.2049622251394563,0.0,525.0747484639031,-1.0213967320688428,1.9485248075216903
25.3,2.200000047683716,2.95222239776273,-0.8901179185171081,0.020033116235576034,-3.083614449212912,12.261999070644379,1.2049622251394563,0.0,526.4743965577327,-1.2831075182194234,1.787074510617043
