time,airspeed,vertspd,psi,aoa,theta,diffalt,density,payload,power,airspeed_x,airspeed_y
25.1,2.0999999046325684,2.710181916951353,-3.001966313430247,0.015885265050899797,3.0593877924607056,7.231690526008606,1.1731365661482205,0.0,585.0841959332138,2.048541907964099,0.4620342528120662
25.31,1.7000000476837158,2.791018689852264,-3.141592653589793,0.012532347830740427,3.0599916908619167,7.997072339057922,1.1731365661482205,0.0,579.1613151521888,1.6943432779223604,0.1385677404158226
25.51,1.7000000476837158,2.7589839338552142,-3.2114058236695664,0.011293451576704416,3.0583536090360792,8.552470326423645,1.1731365661482205,0.0,559.7068429008613,1.699846833991307,0.02282330156584041
25.6,1.8999999761581419,2.8635274030055835,-3.3335788713091694,0.010536661000515436,3.057360880126979,9.081586003303528,1.1731365661482205,0.0,564.5565762501393,1.888980175839128,-0.20433747744287173
25.71,1.8999999761581419,2.872907857083084,-3.4033920413889427,0.011955954569780783,3.0567187919823624,9.368888020515442,1.1731365661482205,0.0,588.2655493337189,1.8703399577927144,-0.3344074635603804
25.9,2.0,2.9490442924720552,-3.5081117965086026,0.017965021472855697,3.057917976373777,10.137025952339172,1.1731365661482205,0.0,588.8621229679119,1.9205309345333568,-0.5581764322330633
26.0,2.0,2.981540527213462,-3.490658503988659,0.017022017072205076,3.0583812162941797,10.43404591083521,1.1731365661482205,0.0,598.2376137900283,1.9297367398575005,-0.5254675202561485
26.2,2.0999999046325684,3.0770907682066153,-3.543018381548489,0.008071082786148674,3.059176789592778,11.242591977119446,1.1731365661482205,0.0,579.9552399438252,1.9940473839241752,-0.6586156922834054
26.41,2.200000047683716,3.1644707522326088,-3.5604716740684323,0.0005197948645972138,3.0600022632397015,12.134526371955872,1.1731365661482205,0.0,586.6885948539458,2.0760419380512336,-0.7280453840667014
26.51,2.400000095367432,3.1589119220158617,-3.595378259108319,0.003531819072314654,3.0609675368286218,12.450888752937317,1.1731365661482205,0.0,560.6611406488919,2.234831631943369,-0.8749445894621106
26.6,2.400000095367432,3.2324352640698604,-3.5604716740684323,0.009614105303523808,3.0611386944639927,12.954198002815247,1.1731365661482205,0.0,575.7760612417588,2.2638690126826337,-0.7968045878250455
26.8,2.5,3.241894124231344,-3.5604716740684323,0.021737042225018956,3.0607484980236452,13.690579533576908,1.1731365661482205,0.0,547.7262861320634,2.358520479872323,-0.8290845228460287
