time,airspeed,vertspd,psi,aoa,theta,diffalt,density,payload,power,airspeed_x,airspeed_y
22.9,3.0,2.7696267801233474,-0.5235987755982988,0.05746365833322337,2.4152773132976577,7.272074222564754,1.1825395183483811,0.25,619.2277498736512,-2.9385697923215686,-0.6039930261643538
23.1,3.0999999046325684,2.668760107282512,-0.4363323129985824,0.04414920641996149,2.4149292669856695,7.816668987274227,1.1825395183483811,0.25,599.4251000426012,-2.9702622790916235,-0.8874352946144111
23.3,2.799999952316284,2.7315982520200053,-0.3490658503988659,0.02126556282267174,2.4148083813865453,8.558447360992432,1.1825395183483811,0.25,640.336118201012,-2.602623760635725,-1.0326418999563929
23.4,2.900000095367432,2.820540867134167,-0.33161255787892263,0.017613522983788314,2.414368005038833,8.98211050033575,1.1825395183483811,0.25,592.0861590439782,-2.6760065645210096,-1.117581952150078
23.5,2.799999952316284,2.8163473801360843,-0.17453292519943295,0.020325479331262313,2.415070413995004,9.264226436615047,1.1825395183483811,0.25,587.7424076820535,-2.3841524899869073,-1.4682699470671
23.7,2.700000047683716,2.854575501584875,-0.17453292519943295,0.02159711186743714,2.4155086773979817,9.932156085968074,1.1825395183483811,0.25,624.2584788612729,-2.2996245529721153,-1.4148240784139445
23.8,2.5999999046325684,2.881967880479253,-0.10471975511965978,0.01720697812010524,2.414652268703678,10.219019412994442,1.1825395183483811,0.25,639.6505720040112,-2.112724008845138,-1.5153866722848977
24.0,2.5,2.9866396195311258,-0.12217304763960307,0.014859307026518378,2.40719702199178,11.165143489837703,1.1825395183483811,0.25,704.2728203792467,-2.045931870965694,-1.4367194504727823
24.1,2.5,3.0397481445698165,-6.2482787221397,0.012195878295202309,2.4063566692016907,11.519342899322567,1.1825395183483811,0.25,605.3036074375633,-1.7945285367809103,-1.7405939591642174
24.3,2.5,3.0634035826686064,-6.213372137099813,0.010333159575496147,2.4080549672082054,11.824416637420711,1.1825395183483811,0.25,606.2238104991338,-1.7357476129053275,-1.7992165584757873
24.4,2.799999952316284,3.0554408353526994,-6.09119908946021,0.011183841541059008,2.410673474142613,12.14356184005743,1.1825395183483811,0.25,617.4820557948841,-1.6898169510946695,-2.2326035037068963
24.6,2.900000095367432,3.0414495635451764,-6.003932626860494,0.018566508700123815,2.413357161069445,12.751946926117,1.1825395183483811,0.25,640.5031790031499,-1.5485598468858959,-2.4519304545080076
24.7,3.2999999523162837,3.0329824666818355,-5.916666164260777,0.02291059571841305,2.413534409922443,13.085664272308463,1.1825395183483811,0.25,713.6129613910342,-1.5127929141007592,-2.932824114114927
24.9,3.400000095367432,3.0175943156176332,-5.899212871740834,0.034164985185480494,2.413779811272099,13.72615575790411,1.1825395183483811,0.25,637.9340085113655,-1.5064099515726728,-3.0480698329108806
25.0,3.7000000476837163,2.944453620293965,-5.916666164260777,0.043919666782489916,2.4109568027486192,14.327491283416805,1.1825395183483811,0.25,556.1311135346259,-1.6876801810718998,-3.292679146117432
25.2,3.7999999523162837,2.9096411333978365,-5.934119456780721,0.036725829595908144,2.415453962419152,14.66251516342163,1.1825395183483811,0.25,585.4724718746728,-1.8070987953815418,-3.3428122264545967
25.4,4.099999904632568,2.850770785879965,-5.811946409141117,0.029683867092738053,2.4130920608424278,15.297351360321102,1.1825395183483811,0.25,668.8763952465669,-1.4866622079068055,-3.820973004035586
25.5,4.199999809265137,2.8275119960121966,-5.742133239061344,0.03260230023851218,2.407288514036725,15.582664012908992,1.1825395183483811,0.25,686.3969861846672,-1.2228758457258169,-4.018030993380657
25.6,4.5,2.766169164058537,-5.82939970166106,0.0352327006675378,2.4041633885310922,15.863648891449031,1.1825395183483811,0.25,697.6751414138708,-1.6673928755693452,-4.179689103091352
25.8,4.599999904632568,2.74955763797296,-5.689773361501515,0.027230593792695535,2.4093358826546525,16.464726924896297,1.1825395183483811,0.25,684.088784458425,-1.1163285390387694,-4.462489183801704
25.9,4.900000095367432,2.7225335103108628,-5.602506898901797,0.010696283338431247,2.414728999763544,17.06144285202032,1.1825395183483811,0.25,727.3495697611253,-0.7963972910058854,-4.834847700753285
26.1,5.0,2.714446209862612,-5.550147021341968,0.014054417357693774,2.417221286824147,17.33435773849493,1.1825395183483811,0.25,769.6853274961612,-0.5657193515650514,-4.967893076070057
26.2,5.0,2.7309022208183458,-5.515240436302081,0.01822128099239434,2.4160366115332943,17.6362566947937,1.1825395183483811,0.25,720.9020880141178,-0.3860923444914715,-4.9850709825964445
26.39,5.0,2.8220495462492616,-5.550147021341968,0.020431085590713247,2.4132394594094793,18.268424510955867,1.1825395183483811,0.25,731.1519517883426,-0.5459336262735086,-4.970106284145627
26.5,4.900000095367432,2.8353929608468804,-5.532693728822025,0.025672192768598567,2.4112754157274674,18.55244398117071,1.1825395183483811,0.25,694.6228605903343,-0.4403439491091367,-4.880173986763567
26.7,4.699999809265137,2.895871359394198,-5.515240436302081,0.026163137844331243,2.401814490506319,19.156978130340633,1.1825395183483811,0.25,797.8947757993592,-0.29624794883160366,-4.690654043937305
26.8,5.0,2.9284947817850946,-5.427973973702365,0.0218497810848149,2.39873108959917,19.448253154754696,1.1825395183483811,0.25,714.2494060591997,0.13636594226300847,-4.998140087051455
27.0,4.900000095367432,3.0806502905320468,-5.410520681182422,0.004930904062133475,2.394919584732499,20.04224920272833,1.1825395183483811,0.25,630.0311333880383,0.2377593118131675,-4.894228380883647
27.09,5.099999904632568,3.162478424200402,-5.375614096142535,0.014407133247920268,2.38701446812924,20.355214595794735,1.1825395183483811,0.25,648.6419065385053,0.46525289720044766,-5.078733973038832
27.3,5.300000190734863,3.0672562924842537,-5.340707511102648,0.02581692772899508,2.3953111163566083,20.95899724960333,1.1825395183483811,0.25,578.4624202104314,0.6237549851340761,-5.263167462689172
